                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     77,                 2.1764,                0.62035,                  2.096,                 2.6769,                0.84457,                   0.85,                0.93448,                0.42348,                0.84457,                   0.85,                0.93448,                0.57105,                 1.4325,                0.58596,                 2.0002,                 2.1864,              0.0099248,              0.0099248,              0.0099248
                     78,                 2.0997,                0.55747,                 1.8357,                  2.508,                0.93814,                   0.85,                 0.9335,                0.56702,                0.90371,                    0.8,                0.92133,                 0.6091,                 1.3382,                0.72985,                 1.9816,                 2.0563,              0.0099238,              0.0099238,              0.0099238
                     79,                  2.129,                0.48599,                 2.0307,                 2.5981,                0.81294,                  0.652,                 0.8335,                0.48386,                0.81294,                  0.652,                0.84884,                0.49118,                 1.4567,                 1.0348,                  1.527,                 2.1949,              0.0099228,              0.0099228,              0.0099228
                     80,                 2.0093,                0.49895,                 1.8877,                  2.454,                0.85953,                    0.6,                0.79228,                0.51105,                0.85862,                    0.7,                0.80634,                0.51371,                 1.3449,                 1.2183,                 1.7359,                  2.088,              0.0099218,              0.0099218,              0.0099218
                     81,                 2.2162,                0.54306,                   2.06,                 2.5562,                0.84246,                    0.7,                0.90428,                0.58858,                0.84246,                    0.7,                0.90428,                 0.6135,                 1.3472,                 1.7114,                 1.8111,                 2.0299,              0.0099208,              0.0099208,              0.0099208
                     82,                  2.141,                0.53715,                 1.8557,                 2.5582,                0.98343,                    0.9,                0.96759,                0.64727,                0.98343,                    0.9,                0.97266,                0.79766,                 1.3303,                0.34224,                 1.3943,                 2.0002,              0.0099198,              0.0099198,              0.0099198
                     83,                 2.0943,                0.56387,                 1.7359,                 2.5155,                0.87473,                    0.9,                0.96932,                0.69831,                0.87473,                    0.9,                0.96932,                0.64125,                 1.3096,                 1.2114,                 1.2796,                 1.9482,              0.0099188,              0.0099188,              0.0099188
                     84,                 2.1377,                0.49753,                 1.7549,                 2.5045,                0.83854,                    0.9,                0.93384,                0.59113,                0.88528,                 0.7724,                0.93592,                 0.7098,                  1.404,                0.39304,                 1.4241,                 2.0158,              0.0099178,              0.0099178,              0.0099178
                     85,                 1.9348,                0.50125,                 1.7577,                  2.463,                0.86534,                0.64305,                0.81251,                0.55198,                0.87956,                   0.65,                0.84578,                0.53643,                 1.3685,                 1.7443,                 2.0154,                 1.9475,              0.0099168,              0.0099168,              0.0099168
                     86,                 2.0682,                0.49229,                 1.6808,                 2.4453,                0.83238,                0.74512,                0.88719,                 0.6353,                0.83238,                0.74512,                0.88719,                0.63231,                 1.2303,                0.54481,                 1.5857,                 1.8901,              0.0099159,              0.0099159,              0.0099159
                     87,                 1.9482,                 0.4888,                 1.6757,                 2.3615,                0.56965,                0.79439,                0.72753,                0.47742,                0.60966,                   0.85,                0.75156,                0.58704,                 1.2217,                0.28966,                  1.661,                  1.988,              0.0099149,              0.0099149,              0.0099149
                     88,                 2.0145,                0.46355,                 1.6819,                 2.3767,                0.71232,                    0.9,                0.73934,                0.48994,                0.71232,                    0.9,                0.73934,                0.61729,                 1.4613,                0.30879,                  1.702,                 2.0029,              0.0099139,              0.0099139,              0.0099139
                     89,                 1.9739,                0.47939,                 1.6974,                 2.3313,                0.94596,                0.87598,                0.95523,                0.63583,                0.94596,                0.87598,                0.95523,                0.74086,                 1.2687,                0.36475,                 1.6124,                 1.8665,              0.0099129,              0.0099129,              0.0099129
                     90,                  2.004,                0.50244,                 1.6754,                 2.3489,                0.76944,                    0.9,                0.90684,                0.61947,                0.76944,                    0.9,                0.90684,                0.65244,                 1.2807,                0.50932,                 1.7279,                 1.8757,              0.0099119,              0.0099119,              0.0099119
                     91,                 2.0686,                0.53076,                 1.7348,                 2.4334,                0.86146,                   0.85,                0.92612,                0.65008,                0.86146,                   0.85,                0.92085,                0.61338,                 1.2747,                 1.1381,                 1.5913,                 1.8485,              0.0099109,              0.0099109,              0.0099109
                     92,                 1.9621,                 0.5391,                 1.6849,                 2.3715,                0.77442,                    0.9,                0.91734,                0.64888,                0.77442,                    0.9,                0.91734,                0.58962,                 1.3805,                 1.2805,                 1.8334,                 1.9144,              0.0099099,              0.0099099,              0.0099099
